Subject,Title,Institution,Learning Product,Level,Duration,Gained Skills,Rate,Reviews
Business,Fundamentals of Social Media Advertising,Meta,Course,Beginner,1 - 3 Months,"Instagram, Social Media, Advertising Campaigns, Advertising, Marketing Materials, Social Media Marketing, Social Media Content, Social Media Strategy, Facebook, Copywriting, Content Creation, Marketing, Media Planning, Information Privacy, Campaign Management, Data Collection, Target Audience",4.8,2400
Business,AI For Everyone,DeepLearning.AI,Course,Beginner,1 - 4 Weeks,"Data Ethics, Market Opportunities, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Team Building, Machine Learning, Strategic Thinking, Generative AI, Data Science, Deep Learning, Business Ethics, Artificial Neural Networks, Business Transformation",4.8,46000
Business,Creating a Free Business Page with Blogger,Coursera Project Network,Guided Project,Beginner,Less Than 2 Hours,"Google Analytics, Web Analytics and SEO, Social Media Content, Promotional Strategies, Customer Engagement, Social Media, Content Marketing, Content Creation, Marketing Analytics, Web Content",4.6,185
Business,The Strategy of Content Marketing,"University of California, Davis",Course,Intermediate,1 - 3 Months,"Content Marketing, Content Strategy, Social Media Content, Marketing Strategies, Content Creation, Strategic Marketing, Marketing, Multimedia, Marketing Communications, Digital Content, Brand Management, Target Audience, Marketing Analytics, Persona Development, Business Ethics",4.5,5100
Business,Master Microsoft Office 365 and Power Platform,Microsoft,Specialization,Beginner,3 - 6 Months,"Microsoft Power Platform, Microsoft Power Automate/Flow, Power BI, Microsoft 365, Multimedia, Microsoft PowerPoint, Dashboard, Microsoft Excel, Excel Formulas, Microsoft Word, Data Visualization, Presentations, Spreadsheet Software, Microsoft Outlook, Data Integration, Microsoft Azure, Productivity Software, Business Intelligence, Business Process Automation, Application Development",4.7,5100
Business,Bookkeeping Basics,Intuit,Course,Beginner,1 - 4 Weeks,"Bookkeeping, QuickBooks (Accounting Software), Financial Statements, Accounting Software, Financial Accounting, Accounting, Accounting Records, Balance Sheet, Income Statement, General Ledger, Business Ethics, Generally Accepted Accounting Principles (GAAP), Cash Flows, Journals",4.6,5700
Business,"AI, Business & the Future of Work",Lund University,Course,Beginner,1 - 4 Weeks,"Organizational Strategy, Artificial Intelligence, Business Transformation, Business Risk Management, Business Leadership, Business Strategy, Digital Transformation, Automation, Thought Leadership, Emerging Technologies, Interviewing Skills",4.6,1400
Business,Generative AI for Human Resources (HR) Professionals,IBM,Specialization,Intermediate,1 - 3 Months,"ChatGPT, Generative AI, HR Tech, OpenAI, Human Resources, Workforce Planning, Human Resource Strategy, Data Ethics, Artificial Intelligence, IBM Cloud, Artificial Intelligence and Machine Learning (AI/ML), Data-Driven Decision-Making, Software Development Tools, Augmented and Virtual Reality (AR/VR), Employee Engagement, Deep Learning, Image Analysis, Recruitment, Automation, Technical Communication",4.7,4500
Business,Agile Project Management,Google,Course,Beginner,1 - 4 Weeks,"Agile Project Management, Backlogs, Agile Methodology, User Story, Sprint Planning, Product Roadmaps, Sprint Retrospectives, Employee Coaching, Team Management, Cross-Functional Collaboration, Prioritization",4.8,14000
Business,Principles of Management,Johns Hopkins University,Course,Mixed,1 - 4 Weeks,"Team Management, Team Building, Business Ethics, Employee Coaching, Influencing, Leadership and Management, Conflict Management, Team Motivation, Project Management, Leadership Studies, Decision Making, Relationship Building, Strategic Decision-Making, Organizational Strategy, Communication",4.7,509
Business,Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,Course,Mixed,1 - 4 Weeks,"Social Media Strategy, Consumer Behaviour, Influencing, Content Creation, Marketing Communications, Social Media Marketing, Social Media, Social Sciences, Advertising, Marketing Psychology, Storytelling, Marketing Strategy and Techniques, Communication, Sociology",4.8,5200
Business,Foundations of Marketing Analytics,Emory University,Specialization,Intermediate,3 - 6 Months,"Pivot Tables And Charts, Customer Analysis, Probability Distribution, Customer Demand Planning, Marketing Analytics, Forecasting, Consumer Behaviour, Descriptive Statistics, Microsoft Excel, Social Media Marketing, Customer Insights, Exploratory Data Analysis, Probability, Statistical Analysis, Target Market, Marketing Effectiveness, Social Media, Time Series Analysis and Forecasting, Predictive Modeling, Statistics",4.3,515
Business,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,Course,Advanced,1 - 3 Months,"Strategic Decision-Making, Business Valuation, Private Equity, Mergers & Acquisitions, Game Theory, Corporate Strategy, Financial Analysis, Business Strategy, Investment Banking, Financial Modeling, Cash Flows, Growth Strategies, Corporate Finance",4.6,1300
Business,Adobe Graphic Designer,Adobe,Professional Certificate,Beginner,3 - 6 Months,"Adobe Illustrator, Color Theory, Adobe Photoshop, Adobe Acrobat, Typography, Generative AI, Document Management, Design, Design Elements And Principles, Graphic and Visual Design, Graphic Design, Web Content Accessibility Guidelines, Innovation, Creativity, Graphic and Visual Design Software, Workflow Management, File Management, Adobe Creative Cloud, Data Ethics, Data Integrity",4.6,337
Business,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,Course,Beginner,1 - 3 Months,"Consumer Behaviour, Marketing Psychology, Decision Making, Branding, Brand Management, Human Learning, Customer Insights, Market Research, Business Ethics, Marketing, Advertising, Marketing Strategies, Psychology",4.7,3400
Business,Quality Improvement and Management,Board Infinity,Course,Beginner,1 - 4 Weeks,"Quality Management, Statistical Process Controls, Quality Management Systems, ISO 9000 Series, Product Quality (QA/QC), Quality Improvement, Service Improvement, Quality Assurance, Quality Control, Continuous Quality Improvement (CQI), Continuous Improvement Process, User Feedback, Customer Service, Process Improvement, Customer Insights, Key Performance Indicators (KPIs), Data-Driven Decision-Making",4.2,142
Business,Marketing Mix Implementation,IE Business School,Specialization,Beginner,3 - 6 Months,"Product Lifecycle Management, Marketing Communications, Integrated Marketing Communications, Advertising, Marketing, Brand Strategy, Strategic Decision-Making, Brand Management, Marketing Planning, Branding, Price Negotiation, Marketing Strategies, Retail Management, Data-Driven Decision-Making, Marketing Channel, Product Strategy, Revenue Management, Market Dynamics, Merchandising, Conflict Management",4.7,5900
Business,Fundamentals of Project Planning and Management,University of Virginia,Course,Beginner,1 - 4 Weeks,"Project Planning, Earned Value Management, Project Risk Management, Stakeholder Management, Risk Management, Project Management, Project Scoping, Project Schedules, Stakeholder Communications, Work Breakdown Structure, Dependency Analysis, Agile Methodology, Kanban Principles",4.7,10000
Business,Hospitality Luxury Brand Management,Starweaver,Course,Intermediate,1 - 4 Weeks,"Hospitality Management, Hospitality Services, Hospitality, Brand Management, Branding, Brand Awareness, Brand Marketing, Brand Strategy, Brand Loyalty, Business Ethics, Digital Transformation, Personalized Service, Market Dynamics, Corporate Sustainability, Quality Management, Customer Service, Technology Strategies, Innovation, Consumer Behaviour",4.4,111
Business,Contabilidad para no contadores,Universidad Nacional Autónoma de México,Course,Beginner,1 - 3 Months,"Balance Sheet, Income Statement, Financial Statements, Cash Flows, Financial Accounting, Accounting, Bookkeeping, Financial Reporting, Generally Accepted Accounting Principles (GAAP), Financial Analysis",4.8,9300
Business,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,Course,Beginner,1 - 3 Months,"Design Thinking, Human Centered Design, Innovation, Brainstorming, Prototyping, Ideation, Design Strategies, User Experience Design, Product Development, Design, Usability Testing, User Feedback",4.7,2100
Business,Sports Marketing,Northwestern University,Course,Intermediate,1 - 3 Months,"Event Marketing, Press Releases, Marketing, Media Relations, Brand Loyalty, Social Media Marketing, Marketing Strategies, Brand Management, Event Planning, Public Relations, Promotions and Campaigns, Revenue Management, Strategic Partnership, Target Audience, Crisis Management",4.7,1400
Business,Attract and Engage Customers with Digital Marketing,Google,Course,Beginner,1 - 4 Weeks,"Search Engine Marketing, Search Engine Optimization, Target Audience, Digital Marketing, Persona Development, Web Analytics and SEO, Marketing, Customer Engagement, Customer Acquisition Management, Advertising, Marketing Strategies, Lead Generation",4.8,6700
Business,From Likes to Leads: Interact with Customers Online,Google,Course,Beginner,1 - 3 Months,"Social Media Strategy, Social Media, Social Media Marketing, Content Creation, Social Media Management, Marketing Strategies, Marketing Analytics, Customer Engagement, Digital Marketing, Brand Awareness, Advertising, Target Audience",4.8,3500
Business,Forensic Accounting and Fraud Examination,West Virginia University,Course,Mixed,1 - 3 Months,"Auditing, Internal Controls, Financial Controls, Threat Detection, Anomaly Detection, Financial Auditing, Cybersecurity, Financial Data, Investigation, Analytics, Specialized Accounting, Advanced Analytics, Security Awareness, Financial Statement Analysis, Big Data, Business Ethics, Analysis, Data Analysis Software, Ethical Standards And Conduct",4.7,6000
Business,Removing Barriers to Change,University of Pennsylvania,Course,Beginner,1 - 4 Weeks,"Influencing, Persuasive Communication, Organizational Change, Change Management, Overcoming Obstacles, Behavioral Economics, Decision Making, Consumer Behaviour, Cost Benefit Analysis, Research",4.9,455
Business,Management of Fashion and Luxury Companies,Università Bocconi,Course,Mixed,1 - 3 Months,"Annual Reports, Retail Store Operations, Brand Management, Global Marketing, Brand Strategy, Digital Publishing, Social Media Content, Communication Strategies, Marketing Strategies, Business Management, Business Modeling, Business Strategy, E-Commerce, Consumer Behaviour, Market Trend, Product Development",4.7,6000
Business,Payroll and Tax Fundamentals,"Automatic Data Processing, Inc. (ADP)",Course,Beginner,1 - 4 Weeks,"Payroll, Payroll Reporting, Payroll Processing, Payroll Administration, Payroll Tax, Labor Law, Labor Compliance, Income Tax, Compensation and Benefits, Tax, Tax Compliance, Employee Onboarding",4.7,115
Business,Principles of Sustainable Finance,Erasmus University Rotterdam,Course,Intermediate,1 - 3 Months,"Environmental Social And Corporate Governance (ESG), Stakeholder Engagement, Corporate Sustainability, Risk Management, Finance, Socioeconomics, Business Modeling, Asset Management, Economic Development, Investment Management, Governance, Environmental Policy",4.7,1800
Business,Innovation Management,Erasmus University Rotterdam,Course,Beginner,1 - 3 Months,"Innovation, New Product Development, Ideation, Brainstorming, Process Development, Design Thinking, Product Management, Diversity and Inclusion, Organizational Strategy, Team Management, Business Strategy, Leadership, Lean Methodologies, Strategic Decision-Making",4.7,2100
Business,Payroll & HR Management,Tally Education and Distribution Services Private Limited,Course,Intermediate,1 - 4 Weeks,"Payroll, Payroll Systems, Payroll Administration, Payroll Processing, Payroll Tax, Payroll Reporting, Income Tax, Human Resources Software, Accounting Software, Tax Compliance, Tax Laws",4.2,28
Business,Intellectual Property Law,University of Pennsylvania,Specialization,Intermediate,3 - 6 Months,"Branding, Logo Design, Brand Strategy, Brand Awareness, Brand Management, Packaging and Labeling, Asset Protection, Business Strategy, Strategic Planning, Product Knowledge, Regulation and Legal Compliance, Law, Regulation, and Compliance, Innovation, Creativity, Risk Management, Business Strategies, Competitive Analysis, Analysis, Writing, Economics",4.8,1400
Business,Introduction to Social Media Marketing,Meta,Course,Beginner,1 - 3 Months,"Social Media Marketing, Social Media, Target Audience, Social Media Strategy, Social Media Management, Marketing, Key Performance Indicators (KPIs), Goal Setting, Facebook, Marketing Strategies, Marketing Channel, Policy Development, Instagram, Digital Marketing",4.8,15000
Business,Financing and Investing in Infrastructure,Università Bocconi,Course,Mixed,1 - 3 Months,"Project Finance, Risk Analysis, Capital Budgeting, Financial Analysis, Investment Banking, Private Equity, Lending and Underwriting, Credit Risk, Risk Management, Investments, Finance, Loans, Contract Management, Financial Management, Banking",4.8,2000
Business,Google Project Management:,Google,Professional Certificate,Beginner,3 - 6 Months,"Quality Management, Project Scoping, Project Closure, Project Management, Project Management Life Cycle, Project Planning, Continuous Improvement Process, Agile Project Management, Project Controls, Quality Monitoring, Backlogs, Team Management, Project Documentation, Agile Methodology, Communication Planning, Project Risk Management, Change Management, Milestones (Project Management), Organizational Structure, Data Storytelling",4.8,124000
Business,Foundations of Management,IESE Business School,Specialization,Beginner,3 - 6 Months,"Financial Statement Analysis, Financial Statements, Income Statement, Organizational Leadership, Organizational Change, Product Management, Accounting, Team Motivation, Cash Flows, Operational Analysis, People Management, Financial Accounting, Marketing, Brand Management, Brand Marketing, Financial Forecasting, Balance Sheet, Business Analysis, Complex Problem Solving, Financial Analysis",4.8,5200
Business,Building Your Freelancing Career,California Institute of the Arts,Specialization,Beginner,3 - 6 Months,"Business Planning, Competitive Analysis, Financial Data, Service Improvement, Risk Management, Tax Preparation, Business Process Automation, Business Strategy, Contract Management, Peer Review, Process Improvement, Financial Analysis, Financial Forecasting, Small Business Accounting, Client Services, Financial Modeling, Market Analysis, Project Scoping, Team Management, Tax Compliance",4.7,309
Business,Making Money as a Freelancer,California Institute of the Arts,Course,Beginner,1 - 3 Months,"Financial Data, Financial Analysis, Financial Forecasting, Small Business Accounting, Accounting, Price Negotiation, Revenue Forecasting, Business Planning, Budgeting, Financial Planning, Financial Management, Forecasting, Business Metrics, Bookkeeping, Balance Sheet, Expense Management, Decision Making, Goal Setting",4.8,124
Business,Plan a Successful Freelancing Business,California Institute of the Arts,Course,Beginner,1 - 3 Months,"Competitive Analysis, Business Planning, Business Strategy, Market Analysis, Market Opportunities, Value Propositions, Peer Review, Entrepreneurship, Business Research, Personal Integrity, Service Design, Goal Setting",4.7,227
Business,Getting started with Fiverr for Freelancers,Coursera Project Network,Guided Project,Beginner,Less Than 2 Hours,"Competitive Analysis, Social Media Content, Content Creation, Logo Design, E-Commerce, Market Analysis, Digital Marketing, Entrepreneurship",4.1,11
Business,Launching Your Freelancing Business,California Institute of the Arts,Course,Intermediate,1 - 3 Months,"Service Improvement, Business Process Automation, Process Improvement, Client Services, Project Scoping, Presentations, Expectation Management, Business Planning, Customer Insights, Brand Strategy, Professional Development, Business Development, Content Creation",4.8,41
Business,Free Trade Agreements and Special Economic Zones,PwC India,Course,Beginner,1 - 4 Weeks,"Export Control, Law, Regulation, and Compliance, Tax Compliance, Regulatory Compliance, Regulatory Requirements, Compliance Management, Tax Laws, Economic Development, International Finance, Document Management",5.0,24
Business,Protect and Grow Your Freelancing Business,California Institute of the Arts,Course,Intermediate,1 - 3 Months,"Tax Preparation, Contract Management, Team Management, Tax Compliance, Benefits Administration, Contract Negotiation, Law, Regulation, and Compliance, Business Planning, Entrepreneurship",5.0,19
Business,Building Your Freelancing Career Capstone,California Institute of the Arts,Course,Intermediate,1 - 3 Months,"Business Planning, Risk Management, Business Strategy, Peer Review, Financial Modeling, Entrepreneurship, Business Development, Branding, Financial Planning, Service Design, Market Analysis",4.9,92000
Business,Foundations of Project Management,Google,Course,Beginner,1 - 4 Weeks,"Project Management Life Cycle, Change Management, Organizational Structure, Project Management, Project Coordination, Organizational Skills, Agile Methodology, Project Planning, Waterfall Methodology, Cross-Functional Collaboration, Communication, Decision Making",4.7,25000
Business,Business Foundations,University of Pennsylvania,Specialization,Beginner,3 - 6 Months,"Operations Management, Return On Investment, Operational Efficiency, Financial Statements, Financial Statement Analysis, Finance, Human Capital, Go To Market Strategy, Process Analysis, Branding, People Management, Financial Reporting, Capital Budgeting, Financial Accounting, Operational Performance Management, Consumer Behaviour, Leadership and Management, Marketing Planning, Peer Review, Analysis",4.7,97000
Business,Key Technologies for Business,IBM,Specialization,Beginner,3 - 6 Months,"Cloud Computing Architecture, Cloud Services, Cloud Security, Cloud Infrastructure, Data Mining, Cloud Platforms, Cloud Computing, Artificial Intelligence, Generative AI, Data Ethics, OpenAI, Cloud Storage, Artificial Intelligence and Machine Learning (AI/ML), Infrastructure As A Service (IaaS), Big Data, Emerging Technologies, Data Analysis, Data Science, Deep Learning, Digital Transformation",4.7,1200
Business,AI For Business,University of Pennsylvania,Specialization,Beginner,3 - 6 Months,"Generative AI, Data Ethics, HR Tech, Data Governance, Big Data, Machine Learning, Data Security, Governance, Business Strategy, Human Resources, Organizational Strategy, Credit Risk, Business Transformation, Risk Management, Tensorflow, Personalized Service, Digital Transformation, Data-Driven Decision-Making, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence",4.8,26000
Business,Foundations of Digital Marketing and E-commerce,Google,Course,Beginner,1 - 4 Weeks,"Data Storytelling, Performance Measurement, Data-Driven Decision-Making, E-Commerce, Digital Marketing, Branding, Marketing Channel, Marketing Strategy and Techniques, Customer Analysis, Advertising, Marketing Analytics, Search Engine Marketing, Customer Engagement, Content Marketing, Brand Awareness, Search Engine Optimization, Social Media Marketing, Target Audience",4.8,21000
Business,Meta Social Media Marketing,Meta,Professional Certificate,Beginner,3 - 6 Months,"Social Media Content, Social Media Marketing, Social Media Management, Social Media, Marketing Analytics, Target Audience, Social Media Strategy, Instagram, Content Creation, Campaign Management, Marketing Effectiveness, Marketing, Performance Analysis, Key Performance Indicators (KPIs), Goal Setting, Advertising, Facebook, Performance Metric, Advertising Campaigns, Presentations",4.6,14000
Business,Introduction to Finance and Accounting,University of Pennsylvania,Specialization,Beginner,3 - 6 Months,"Financial Statements, Return On Investment, Financial Statement Analysis, Finance, Financial Reporting, Capital Budgeting, Financial Accounting, Financial Modeling, Working Capital, Balance Sheet, Accrual Accounting, Accounting, Cash Flows, Income Statement, Generally Accepted Accounting Principles (GAAP), Financial Analysis, Tax Planning, Equities, Financial Planning, Corporate Finance",4.5,16000
Business,Finance & Quantitative Modeling for Analysts,University of Pennsylvania,Specialization,Beginner,3 - 6 Months,"Return On Investment, Financial Reporting, Finance, Financial Data, Capital Budgeting, Financial Statements, Financial Modeling, Mathematical Modeling, Statistical Modeling, Regression Analysis, Business Modeling, Income Statement, Financial Analysis, Risk Analysis, Cash Flows, Business Mathematics, Financial Planning, Spreadsheet Software, Google Sheets, Excel Formulas",4.7,7500
Business,IBM IT Project Manager,IBM,Professional Certificate,Beginner,3 - 6 Months,"Stakeholder Engagement, Software Development Life Cycle, Agile Software Development, Project Management Life Cycle, Resource Management, Risk Management, Peer Review, Earned Value Management, Stakeholder Management, Agile Methodology, Project Risk Management, Team Motivation, Kanban Principles, Project Schedules, Development Environment, Project Management Institute (PMI) Methodology, Information Technology, Sprint Retrospectives, Interviewing Skills, Project Management",4.6,7000
Business,Intuit Academy Bookkeeping,Intuit,Professional Certificate,Beginner,3 - 6 Months,"Reconciliation, Financial Statements, Financial Statement Analysis, Inventory Accounting, Payroll, Bookkeeping, QuickBooks (Accounting Software), Inventory Control, Income Statement, Balance Sheet, Financial Reporting, Depreciation, Fixed Asset, Payroll Tax, Property Accounting, Accounting Software, Financial Accounting, Financial Analysis, Sales Tax, Accounting",4.7,12000
Business,IBM Business Analyst,IBM,Professional Certificate,Beginner,3 - 6 Months,"Data Storytelling, Requirements Elicitation, Business Process Modeling, Business Analysis, Data Presentation, Process Analysis, Resource Allocation, Data Visualization, Interactive Data Visualization, Stakeholder Management, Process Optimization, Business Requirements, Requirements Management, Data Modeling, Risk Analysis, Requirements Analysis, Excel Formulas, Microsoft Excel, Data Cleansing, Analysis",4.5,11000
Business,Business and Financial Modeling,University of Pennsylvania,Specialization,Beginner,3 - 6 Months,"Risk Modeling, Financial Statements, Probability Distribution, Mathematical Modeling, Statistical Modeling, Portfolio Management, Regression Analysis, Business Modeling, Financial Modeling, Strategic Decision-Making, Risk Management, Presentations, Decision Making, Data Visualization, Microsoft PowerPoint, Predictive Modeling, Investment Management, Spreadsheet Software, Google Sheets, Excel Formulas",4.7,4600
